"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049479-2118",,,,,,,,,
"1522049479-2206","Reactor",,,,,"http://reactor.me/","me","Montenegro","JP"
"1522049479-2173","LiFox(ライフォックス)",,,,,"http://www.lifox.co.jp/","jp","Japan","JP"
"1522049479-2198","(株)ラルクス",,,,,"http://www.larcx.com/","com",,"US"
"1522049479-2167",,,,,,,,,
"1522049476-2108",,,,,,,,,
"1522049599-2580","Monogram(モノグラム)",,,,,"http://www.monogramsoft.com/","com",,"VG"
"1522049539-2409","LUNATIC(ルナティック)",,,,,"http://www.lunatic-soft.jp/","jp","Japan","US"
"1522049539-2356","Lapis lazuli(ラピスラズリ)",,,,,"http://www.lapislazuli-soft.com/","com",,"JP"
"1522049479-2169",,,,,,,,,
"1522049539-2335",,,,,,,,,
"1522049539-2353","らぱぷる",,,,,"http://www.rapapuru.com/","com",,"US"
"1522049599-2517","(株)マトリックス",,,,,"http://www.matrixsoft.co.jp/","jp","Japan","JP"
"1522049599-2579","MOSS",,,,,"http://www.mossjp.co.jp/","jp","Japan","JP"
"1522049479-2133",,,,,,,,,
"1522049599-2544","牛乳戦車(ミルクタンク)",,,,,"http://gyunyusensha.sakura.ne.jp/","jp","Japan","JP"
"1522049539-2436","ローズティアラ",,,,,"http://www.rose-tiara.com/","com",,"VG"
"1522049539-2382","Ricotta(リコッタ)",,,,,"http://www.ricotta-soft.jp/","jp","Japan","JP"
"1522049539-2442","(株)ロケットスタジオ",,,,,"http://www.rocketstd.co.jp/","jp","Japan","JP"
"1522049599-2504","(株)マイナビ",,,,,"http://soft.mycom.co.jp/","jp","Japan","JP"
"1522049539-2422","Rainbow Cyc(レインボウサイク)",,,,,"http://www.cyc-soft.com/","com",,"JP"
"1522049539-2309",,,,,,,,,
"1522049479-2257","レインボー・ジャパン",,,,,"http://www.rainbow.co.jp/","jp","Japan","JP"
"1522049539-2372","Reactor",,,,,"http://reactor.me/","me","Montenegro","JP"
"1522049479-2269","ローズクラウン",,,,,"http://www.rose-tiara.com/","com",,"VG"
"1522049599-2518","MANATSU_8(まなつエイト)",,,,,"http://www.manatsu8.com/","com",,"JP"
"1522049539-2358","Rabbit",,,,,"http://www.pamsoft.co.jp/","jp","Japan","JP"
"1522049479-2263","レッドレーベル",,,,,"http://www.digianime.co.jp/redlabel/","jp","Japan","JP"
"1522049479-2209","(株)リアルアンリアル",,,,,"http://www.real-unreal.info/","info",,"JP"
"1522049479-2281","Rondo Bell(ロンドベル)",,,,,"http://web-giga.com/rondobell/","com",,"JP"
"1522049539-2342","Lilac Soft",,,,,"http://aoiumiyori.jp/","jp","Japan","US"
"1522049599-2566","(株)メトロ",,,,,"http://www.metro-japan.com/","com",,"JP"
"1522049599-2513","マジテック",,,,,"http://www.aa.alpha-net.ne.jp/esaki/","jp","Japan","JP"
"1522049479-2127",,,,,,,,,
"1522049479-2134",,,,,,,,,
"1522049539-2444","ロストハート",,,,,"http://www.zeal.gr.jp/LostHeart/","jp","Japan","N/A"
"1522049599-2458",,,,,,,,,
"1522049479-2158",,,,,,,,,
"1522049599-2546","みるくぱい",,,,,"http://www.milk-pai.com/","com",,"JP"
"1522049599-2485",,,,,,,,,
"1522049599-2558","メガロマンス",,,,,"http://www.coremagazine.co.jp/megaromance/","jp","Japan","JP"
"1522049539-2430","レッドレベル",,,,,"http://www.digianime.co.jp/redrebel/","jp","Japan","JP"
"1522049539-2417","(有)レイヴ",,,,,"http://www.remus.dti.ne.jp/~rave-aki/","jp","Japan","JP"
"1522049479-2144",,,,,,,,,
"1522049479-2280","Lo-Lilith",,,,,"http://www.lilith-soft.com/lolilith/","com",,"JP"
"1522049539-2379","リキッド",,,,,"http://liquid.nexton-net.jp/","jp","Japan","JP"
"1522049539-2426","(株)レッド・エンタテインメント",,,,,"http://red-entertainment.co.jp/","jp","Japan","JP"
"1522049539-2310",,,,,,,,,
"1522049539-2290",,,,,,,,,
"1522049599-2560","メディアート",,,,,"http://www.cscweb.co.jp/","jp","Japan","JP"
"1522049539-2424","レオン・スタジオ(株)",,,,,"http://www.leon-studio.com/","com",,"JP"
"1522049479-2205","リーフ",,,,,"http://leaf.aquaplus.co.jp/","jp","Japan","JP"
"1522049599-2479",,,,,,,,,
"1522049479-2165",,,,,,,,,
"1522049479-2164",,,,,,,,,
"1522049479-2148",,,,,,,,,
"1522049479-2119",,,,,,,,,
"1522049539-2369","ランプオブシュガー",,,,,"http://www.lumpofsugar.co.jp/","jp","Japan","JP"
"1522049539-2302",,,,,,,,,
"1522049599-2581","モノリスソフト",,,,,"http://www.monolithsoft.co.jp/","jp","Japan","JP"
"1522049599-2473",,,,,,,,,
"1522049539-2360","Love Juice ピンク",,,,,"http://www.love-juice.jp/index.html","jp","Japan","JP"
"1522049539-2371","リーフ",,,,,"http://leaf.aquaplus.co.jp/","jp","Japan","JP"
"1522049479-2207","REAL",,,,,"http://www.itazura.biz/","biz",,"JP"
"1522049479-2116",,,,,,,,,
"1522049539-2357","ラビソフト",,,,,"http://www.lavi-soft.com/","com",,"JP"
"1522049539-2355","LAPIS BLUe.",,,,,"http://bifronte.com/","com",,"US"
"1522049479-2155",,,,,,,,,
